content,tweet_url,image_url
no,https://twitter.com/MauriceHal39959/status/1821686422421827804,https://pbs.twimg.com/media/GUfuA56boAADlZy.jpg
no,https://twitter.com/MauriceHal39959/status/1821686422421827804,https://pbs.twimg.com/media/GUfuA50bIAAps_e.jpg
no,https://twitter.com/MauriceHal39959/status/1821686422421827804,https://pbs.twimg.com/media/GUfuA54a8AEzBI-.jpg
no,https://twitter.com/Tom23960586/status/1821686415870341275,https://pbs.twimg.com/media/GUfuIgbWMAAI6lg.png
no,https://twitter.com/mariachisanta/status/1821686415102533806,https://pbs.twimg.com/media/GUfuHMBXIAAuP30.png
no,https://twitter.com/Benji92986/status/1821686396194861513,https://pbs.twimg.com/media/GUfuH4AXwAArbiI.jpg
no,https://twitter.com/brim_julie/status/1821686393489478070,https://pbs.twimg.com/media/GUfuFgoWkAIo-U5.jpg
no,https://twitter.com/okieredneck918/status/1821686379958706302,https://pbs.twimg.com/media/GUfuGmFWYAA1DtH.jpg
no,https://twitter.com/ManleySam52/status/1821686377961931196,https://pbs.twimg.com/media/GUfuGlbWMAAPltv.jpg
no,https://twitter.com/tlizzy4ever/status/1821686362942366135,https://pbs.twimg.com/media/GUfuEexXkAALV2-.jpg
no,https://twitter.com/BRicccccii/status/1821686358814973960,https://pbs.twimg.com/media/GUfuFo0WYAAAM5b.jpg
no,https://twitter.com/MODOX613/status/1821686355505959020,https://pbs.twimg.com/media/GUftv1SXYAAx36O.jpg
no,https://twitter.com/OnlyinFlorida2/status/1821686345976234014,https://pbs.twimg.com/media/GUfuE0SXwAAyO-A.jpg
yes,https://twitter.com/LatinaInfinite/status/1821686337378120003,https://pbs.twimg.com/media/GUftyPbWYAEprca.jpg
no,https://twitter.com/B0ldPatri0t/status/1821686327164936277,https://pbs.twimg.com/media/GUfuDUAXMAARzDm.jpg
no,https://twitter.com/carterconsult/status/1821686323100451274,https://pbs.twimg.com/media/GUfuDiIWkAAaEih.jpg
no,https://twitter.com/carterconsult/status/1821686323100451274,https://pbs.twimg.com/media/GUfuDiFXEAAIvqX.jpg
no,https://twitter.com/ConservativeKAB/status/1821686319652708722,https://pbs.twimg.com/media/GUfuDUJbEAA2KJ9.jpg
no,https://twitter.com/chukar22/status/1821686317035745327,https://pbs.twimg.com/media/GUfuDPmbgAAxu7i.jpg
no,https://twitter.com/oOoConservas/status/1821686311239217219,https://pbs.twimg.com/media/GUfuC6Fa8AMbj8w.jpg
yes,https://twitter.com/CiabanItReal/status/1821686301508153682,https://pbs.twimg.com/media/GUft_kbWUAA_pDJ.png
yes,https://twitter.com/CiabanItReal/status/1821686301508153682,https://pbs.twimg.com/media/GUfuB5QXkAAPVmL.png
no,https://twitter.com/Election_Odd/status/1821686276862472436,https://pbs.twimg.com/media/GUft_u3W0AAjVcC.jpg
no,https://twitter.com/CumberpatchM/status/1821686259535782125,https://pbs.twimg.com/media/GUft-30WQAADinO.jpg
no,https://twitter.com/LakeLouise1988/status/1821686251021316548,https://pbs.twimg.com/media/GUft_MzXUAAuk-7.jpg
no,https://twitter.com/wyliepanda/status/1821686245879337422,https://pbs.twimg.com/media/GUfrJ7bXgAE3dkj.jpg
no,https://twitter.com/wyliepanda/status/1821686245879337422,https://pbs.twimg.com/media/GUfsitNbQAAlqAo.png
yes,https://twitter.com/TexasRebelMAGA/status/1821686240619720974,https://pbs.twimg.com/media/GUft-VgW4AAgO_X.jpg
no,https://twitter.com/kylielclark/status/1821686234659672306,https://pbs.twimg.com/media/GUft-bda8AIl5GS.jpg
no,https://twitter.com/carterconsult/status/1821686206905872554,https://pbs.twimg.com/media/GUft81CWQAAJFPS.jpg
no,https://twitter.com/Politi_Quips/status/1821686200458977405,https://pbs.twimg.com/media/GUft8dKWcAEz5K0.jpg
no,https://twitter.com/WindroseNotes/status/1821686196093030500,https://pbs.twimg.com/media/GUft76ia8AUcINv.jpg
no,https://twitter.com/WindroseNotes/status/1821686196093030500,https://pbs.twimg.com/media/GUft8AEXUAEQ16T.jpg
no,https://twitter.com/WindroseNotes/status/1821686196093030500,https://pbs.twimg.com/media/GUft8E-a8AAjres.jpg
yes,https://twitter.com/ConservativeYu/status/1821686192536170516,https://pbs.twimg.com/media/GUft7_bW4AA5JX2.jpg
no,https://twitter.com/oOoConservas/status/1821686192242622475,https://pbs.twimg.com/media/GUft7sCWMAAhugC.jpg
no,https://twitter.com/SwiftiesRise24/status/1821686186093502879,https://pbs.twimg.com/media/GUft7lLXYAAw421.jpg
no,https://twitter.com/deeth_jim/status/1821686185263063161,https://pbs.twimg.com/media/GUft7qrXoAA_k3m.jpg
no,https://twitter.com/plantationdrip/status/1821686155542458395,https://pbs.twimg.com/media/GUft5slWcAAKThP.jpg
no,https://twitter.com/R3dMystique/status/1821686153948410324,https://pbs.twimg.com/media/GUft5y8WwAEH3qT.jpg
yes,https://twitter.com/Sarah_Maga24/status/1821686152971125028,https://pbs.twimg.com/media/GUft5xZWYAAtv0U.jpg
no,https://twitter.com/EricEdwards11/status/1821686150693806089,https://pbs.twimg.com/media/GUft5gEX0AEm4mV.jpg
no,https://twitter.com/BatJack00/status/1821686124672381194,https://pbs.twimg.com/media/GUft4DUXEAEgTfk.jpg
no,https://twitter.com/TFMulliganEsq/status/1821686119408529652,https://pbs.twimg.com/media/GUft3ugXUAAIjjK.jpg
no,https://twitter.com/walcath1/status/1821686110759645368,https://pbs.twimg.com/media/GUft252XsAAlVBO.png
no,https://twitter.com/butterwordblog/status/1821686060448899331,https://pbs.twimg.com/media/GUft0RzXcAAoma5.jpg
no,https://twitter.com/SIUKRA12/status/1821686049598304360,https://pbs.twimg.com/media/GUftzvrXsAAQT6y.jpg
no,https://twitter.com/glowmaster0819/status/1821686046142398841,https://pbs.twimg.com/media/GUftp9rXUAEZrQ-.jpg
no,https://twitter.com/glowmaster0819/status/1821686046142398841,https://pbs.twimg.com/media/GUftp9nXQAAoPuM.jpg
no,https://twitter.com/glowmaster0819/status/1821686046142398841,https://pbs.twimg.com/media/GUftqBNWYAAHqGX.jpg
no,https://twitter.com/glowmaster0819/status/1821686046142398841,https://pbs.twimg.com/media/GUftqA6WcAELrRS.jpg
no,https://twitter.com/Cheryl14995335/status/1821686041092485303,https://pbs.twimg.com/media/GUftzQaW8AAAFTS.jpg
no,https://twitter.com/StevenR08880503/status/1821686038357782934,https://pbs.twimg.com/media/GUftzBnXMAAMVqA.jpg
no,https://twitter.com/StevenR08880503/status/1821686038357782934,https://pbs.twimg.com/media/GUftzBnWMAEx3Je.jpg
no,https://twitter.com/StevenR08880503/status/1821686038357782934,https://pbs.twimg.com/media/GUftzBmW0AAgVy8.jpg
yes,https://twitter.com/StevenR08880503/status/1821686038357782934,https://pbs.twimg.com/media/GUftzBmXgAEZHLK.jpg
yes,https://twitter.com/chukar22/status/1821686025875558409,https://pbs.twimg.com/media/GUftyS3a8AIVDdY.jpg
no,https://twitter.com/ioainpc11/status/1821686021433782403,https://pbs.twimg.com/media/GUftxxLWQAAux35.jpg
no,https://twitter.com/ILA_NewsX/status/1821685982409920788,https://pbs.twimg.com/media/GUftuAja8AEANH8.jpg
no,https://twitter.com/debamoore62/status/1821685956212109766,https://pbs.twimg.com/media/GUftlE8XYAEKf18.jpg
no,https://twitter.com/RonDesantisSUX/status/1821685953200574596,https://pbs.twimg.com/media/GUftuD1XcAA-3IX.jpg
no,https://twitter.com/RayZitto/status/1821685951778976162,https://pbs.twimg.com/media/GUftttsagAAXKmb.jpg
no,https://twitter.com/charlesfranek48/status/1821685948721037791,https://pbs.twimg.com/media/GUftt24WwAA9Xjq.jpg
no,https://twitter.com/TheTimDeFelice/status/1821685947437548015,https://pbs.twimg.com/media/GUfttloW8AAz7So.jpg
no,https://twitter.com/passive3some/status/1821685940265300342,https://pbs.twimg.com/media/GUfttSYWIAAf_Cw.jpg
no,https://twitter.com/ZaZon9253/status/1821685935572185388,https://pbs.twimg.com/media/GUftjMAXcAAHqq1.jpg
no,https://twitter.com/Shaykay1717/status/1821685929150472262,https://pbs.twimg.com/media/GUftscIXYAAd-LO.jpg
yes,https://twitter.com/j26164/status/1821685923853025522,https://pbs.twimg.com/media/GUftsVjWAAAosqi.jpg
no,https://twitter.com/CBiden2020/status/1821685923488141636,https://pbs.twimg.com/media/GUftsSbXsAANAe5.png
no,https://twitter.com/CBiden2020/status/1821685923488141636,https://pbs.twimg.com/media/GUftsSVWgAAt7S3.png
no,https://twitter.com/PrinceOfWhale15/status/1821685916135543062,https://pbs.twimg.com/media/GUftr6fXYAAAbDS.jpg
no,https://twitter.com/hdthornhill/status/1821685912440598881,https://pbs.twimg.com/media/GUftrcMa8AQQr6T.jpg
no,https://twitter.com/hdthornhill/status/1821685912440598881,https://pbs.twimg.com/media/GUftrcPa8AE5l3f.jpg
no,https://twitter.com/hdthornhill/status/1821685912440598881,https://pbs.twimg.com/media/GUftrdZa0AAFH3q.jpg
no,https://twitter.com/hdthornhill/status/1821685912440598881,https://pbs.twimg.com/media/GUftrdZbkAE-dBf.jpg
yes,https://twitter.com/StanSmi56488521/status/1821685912033751547,https://pbs.twimg.com/media/GUftrrUWoAA83-b.jpg
no,https://twitter.com/Sally55428478/status/1821685911664689276,https://pbs.twimg.com/media/GUftrocaAAADf7f.jpg
no,https://twitter.com/readeancom/status/1821685900704665706,https://pbs.twimg.com/media/GUftrEOWEAAcLqK.jpg
no,https://twitter.com/plainjan2/status/1821685890139521133,https://pbs.twimg.com/media/GUftqV1aMAAavHN.jpg
no,https://twitter.com/plainjan2/status/1821685890139521133,https://pbs.twimg.com/media/GUftqWPXYAAiJOj.jpg
no,https://twitter.com/plainjan2/status/1821685890139521133,https://pbs.twimg.com/media/GUftqVzasAAv8Nq.jpg
no,https://twitter.com/plainjan2/status/1821685890139521133,https://pbs.twimg.com/media/GUftqWRX0AA5Dcb.jpg
no,https://twitter.com/CharlotteB87810/status/1821685876667121838,https://pbs.twimg.com/media/GUftpslXYAAoSPE.jpg
yes,https://twitter.com/FukJoeyBiden/status/1821685859097399391,https://pbs.twimg.com/media/GUftoj9WEAAuEDz.jpg
no,https://twitter.com/FukJoeyBiden/status/1821685859097399391,https://pbs.twimg.com/media/GUftoj4WYAEqSc7.jpg
no,https://twitter.com/FukJoeyBiden/status/1821685859097399391,https://pbs.twimg.com/media/GUftoj5WwAAyGqd.jpg
